moy,Accessible suburbia,Concentrated urbanity,Connected residential neighbourhoods,Countryside agriculture,Dense residential neighbourhoods,Dense urban neighbourhoods,Disconnected suburbia,Gridded residential quarters,Hyper concentrated urbanity,Local urbanity,Metropolitan urbanity,Open sprawl,Regional urbanity,Urban buffer,Warehouse/Park land,Wild countryside
2012-01,259.0,2.0,86.0,229.0,168.0,153.0,130.0,62.0,1.0,118.0,15.0,844.0,53.0,880.0,173.0,5.0
2012-02,344.0,7.0,123.0,256.0,228.0,214.0,205.0,81.0,1.0,131.0,9.0,943.0,57.0,876.0,182.0,16.0
2012-03,569.0,6.0,212.0,539.0,560.0,351.0,325.0,165.0,1.0,280.0,33.0,1761.0,82.0,1803.0,472.0,11.0
2012-04,370.0,4.0,131.0,301.0,274.0,185.0,207.0,79.0,,161.0,12.0,990.0,57.0,1073.0,235.0,10.0
2012-05,404.0,11.0,146.0,382.0,317.0,278.0,262.0,99.0,2.0,178.0,11.0,1243.0,71.0,1369.0,383.0,9.0
2012-06,793.0,34.0,205.0,623.0,478.0,469.0,520.0,188.0,,289.0,19.0,2064.0,110.0,2589.0,527.0,27.0
2012-07,357.0,12.0,130.0,364.0,260.0,213.0,243.0,85.0,,134.0,12.0,963.0,67.0,988.0,205.0,10.0
2012-08,420.0,14.0,126.0,383.0,289.0,260.0,274.0,121.0,1.0,170.0,20.0,1292.0,67.0,1219.0,252.0,10.0
2012-09,491.0,13.0,198.0,418.0,287.0,293.0,286.0,133.0,2.0,176.0,18.0,1381.0,52.0,1354.0,246.0,16.0
2012-10,509.0,13.0,167.0,351.0,331.0,249.0,282.0,149.0,,138.0,17.0,1260.0,45.0,1305.0,292.0,11.0
2012-11,529.0,9.0,208.0,489.0,384.0,268.0,347.0,134.0,4.0,157.0,21.0,1345.0,40.0,1433.0,334.0,18.0
2012-12,778.0,13.0,245.0,675.0,499.0,362.0,411.0,165.0,,238.0,24.0,1882.0,76.0,2110.0,408.0,35.0
2013-01,365.0,8.0,110.0,276.0,188.0,176.0,153.0,67.0,2.0,103.0,10.0,687.0,41.0,747.0,136.0,8.0
2013-02,372.0,9.0,95.0,305.0,249.0,191.0,214.0,75.0,2.0,142.0,3.0,810.0,47.0,999.0,157.0,17.0
2013-03,640.0,17.0,163.0,546.0,408.0,360.0,315.0,110.0,2.0,238.0,9.0,1525.0,52.0,1646.0,372.0,30.0
2013-04,471.0,13.0,120.0,518.0,301.0,253.0,262.0,84.0,1.0,167.0,18.0,1162.0,46.0,1157.0,252.0,16.0
2013-05,578.0,22.0,131.0,477.0,356.0,279.0,294.0,131.0,2.0,176.0,11.0,1544.0,85.0,1567.0,374.0,18.0
2013-06,1035.0,21.0,234.0,821.0,648.0,433.0,518.0,182.0,11.0,321.0,29.0,2693.0,97.0,2678.0,610.0,44.0
2013-07,489.0,8.0,103.0,475.0,360.0,273.0,232.0,99.0,5.0,162.0,7.0,1167.0,62.0,1165.0,218.0,16.0
2013-08,654.0,8.0,128.0,469.0,406.0,323.0,304.0,145.0,15.0,187.0,20.0,1546.0,74.0,1636.0,345.0,19.0
2013-09,723.0,13.0,197.0,509.0,457.0,312.0,402.0,108.0,3.0,239.0,9.0,1576.0,70.0,1895.0,355.0,38.0
2013-10,703.0,10.0,153.0,524.0,411.0,330.0,354.0,84.0,14.0,278.0,7.0,1626.0,60.0,1662.0,357.0,21.0
2013-11,786.0,8.0,167.0,644.0,518.0,413.0,368.0,96.0,2.0,280.0,17.0,1892.0,58.0,1986.0,400.0,18.0
2013-12,1039.0,45.0,261.0,908.0,661.0,502.0,576.0,154.0,2.0,365.0,42.0,2826.0,101.0,2852.0,554.0,22.0
2014-01,472.0,14.0,111.0,379.0,254.0,282.0,166.0,67.0,1.0,144.0,15.0,1156.0,42.0,1148.0,312.0,10.0
2014-02,624.0,8.0,162.0,388.0,314.0,301.0,236.0,103.0,1.0,250.0,14.0,1359.0,57.0,1349.0,356.0,19.0
